1029753 5320844 12014321 17212696 22696803 22845685 23547488 29180818 33973119 34111982 35215058 52880827 71545668 124223103 124424661 124774712 124966101 171832219 181137306 193710760 199691771 205463049 206917909 207524694 213730729 214265436 
3768784 4658943 4659309 4689365 20720857 20720857 20720935 20737394 22966038 22969200 22969200 23500056 23500061 23509584 25383273 25383273 25383273 34321440 34330768 34331478 34579664 34579664 34579698 34579698 35867942 35867942 
11027564 11027648 11832144 11833338 20112948 20112948 20113641 40584574 45074076 45075846 49228711 51434797 51434828 51435104 57468933 57469810 58042325 58949036 58950935 59878174 60453003 60453003 60453003 60453423 63115629 63117363 
17322612 17323493 17323701 18329999 28139392 28178818 28526687 28554863 33684138 33690376 33690718 34099901 34191103 35054087 43761304 43761314 43761564 49611212 49999794 50007174 50572220 50576727 52323152 52323152 55886491 55888196 
5849183 8903956 10445988 16044769 19817659 21429171 23674893 23803541 25807137 26037356 26541350 59154067 62531250 88411946 91669681 96283776 96324308 130580825 146703091 157842381 158573417 164335540 167692917 169696364 178400138 178655095 
1107309 1107314 1107314 1107314 3361484 5484698 5486498 5487026 5845885 5845890 5846845 6521760 6521765 6526248 7053978 7053989 7053989 11782387 11784450 11870347 11923469 11923469 11923855 11923855 11930586 11930635 
5717195 5718616 5718640 5762271 13660952 13661982 14146173 14790954 17228321 17228485 17228530 19050413 19056948 19264243 20493049 20493106 20493106 22456500 22486766 22516430 23251873 23252314 23422904 23422909 23729105 23729126 
24134231 24137631 24138154 24144150 40589997 40590589 40591827 40592021 44389986 44395637 44403980 46462793 46541722 52406485 58592820 58593395 58593934 63150859 63159969 63358585 65675838 65679449 65683958 65683958 68853824 68858732 
21675736 21813213 42402515 47544865 66913527 69191238 70738354 70768137 70775303 71084382 72182981 86798039 90418602 112362660 114462844 115220207 115526676 119059924 136334421 140873762 141182453 142372537 142376429 142530703 143081863 145040141 
15639205 15639792 15641647 15644150 23993319 23993319 23993408 24009338 24953852 24954738 24955307 24958851 24960666 24962258 41170288 41170366 41170901 41173261 41175317 41176058 45399630 45400979 45402128 45402128 45406168 45406207 
7771942 7772430 7775406 7775762 14846909 14847569 14847569 15006878 17690359 17691878 17767024 18092049 18092784 18120558 18676545 18676595 18679335 19882607 20127456 20135509 20271607 20272175 20288578 20288687 21773357 21774193 
17535743 18861895 18966502 24083535 49618192 50128176 50203014 50223329 75639033 75641090 75673382 93382298 94432212 94501585 101716710 102321085 102321925 102340027 103122176 104395098 106305226 107646549 107686521 107686572 116890230 116902766 
27011297 28408859 28551371 28602105 39277389 39277585 39278077 39280180 52114343 52115019 52116249 52119169 54236050 54351797 58308398 58364147 58364147 58483669 58512428 58513045 59491331 59491516 59491599 59491599 62096024 62105583 
19364876 19366716 24182418 38859088 58111161 58174737 60025244 60047737 75901757 76706136 77886943 78310328 78343651 94735855 97846303 97858880 97867341 98706078 99227542 104590228 104960546 104992244 105024994 105025968 109433870 109910419 
1382919 8651102 9029972 10997148 12475666 12676719 13506788 19455492 20051762 20060018 20431825 28634247 32508697 56171085 56763192 59566968 59569680 74182647 81478769 85284931 87245635 87565238 88270403 88423700 90517172 90564119 
5906282 5915074 5921485 5921485 8205506 8205883 8205883 17098521 17217447 17217660 17217757 17231795 17232541 17233292 17346602 17379047 17379047 18003708 18017413 18029074 18035697 18035697 18035697 18035697 18042016 18042016 
2799 2834 2834 2834 3162 3162 3162 3162 6650 6650 6650 7567 8180 8180 8262 8262 8289 9108 9412 9412 1463341 1463362 1464774 1464774 1464779 1464779 
21825554 23635403 24723574 31366530 51826080 51837781 56368370 56696527 87239514 87538226 89197326 97769034 99296686 101364285 119419013 119477856 119561986 125891924 126566420 136397508 139078929 139758319 139859811 139860233 155027600 155036540 
12760114 12778732 14223189 14230233 23092822 23094788 23095873 32067955 35575953 35578060 35772964 36647417 37133696 37142380 41427083 41659117 41671007 41747641 46882989 61247195 63447500 63465048 63488446 63488446 64461082 64466678 
7632719 7632818 7892677 7892677 18227508 18228562 18232846 42308449 50766548 50771047 50772492 51486888 51489619 52072037 59395099 59397148 59397154 64429308 64634242 72097441 72474770 72476190 72532840 72533280 75331163 75450789 
2382586 3152078 4449081 6500366 9161272 9228884 10491862 10513776 11939115 11946615 12238768 16354002 16652108 17727368 17742858 17873436 17875137 21697470 26348595 27435188 27435953 27464269 27482217 27489894 27594298 27926985 
2852219 2852296 2852296 2853648 7751046 7751046 7751107 7751337 19111743 19111949 19119994 19132069 19132069 19134123 19887014 19887115 19887115 19908657 19908767 19908779 19910616 19911578 19911578 19911578 20017760 20017760 
3703618 3703689 3703714 3707406 4952784 4956932 4956932 5071317 11209940 11210256 11211266 11217929 11223216 12075059 12224553 12224553 12224553 12693293 12737744 12749212 12754795 12754800 12754927 12754927 12973243 12973301 
1337255 1337272 1341616 1341886 1383800 1387061 1387061 1387154 2152141 2152195 2152195 2154777 2155166 2155239 2219036 2219041 2219041 2219041 2255046 2358399 2386398 2386403 2466944 2476785 2491376 2510188 
3714728 3771303 4582055 6192413 6751980 6763738 6782574 6790256 6854182 6889138 6951541 12589483 13524005 20109517 20399950 20407483 20417554 21202101 22870105 23281706 23346369 23621177 23640195 23645289 23653913 23666636 
3124911 3151366 3155642 3155863 3748994 3748999 3750157 3758032 4236620 4237062 4238033 4282451 4398318 4398968 4746813 4747013 4747018 4786932 4788141 4789476 4828741 4831832 4832174 4832184 4891046 4967810 

